ATT,DJIA,GM,IBM,INT1M,ratt,rdj,rgm,ribm,pratt,prdj,prgm,pribm
29.14,5470.45,39.47,28.56,4.71,-0.02866667,-0.03035261,0,-0.02459016,-0.0287975,-0.03035181,0.00000084,-0.02459016
28.68,5581,39.28,29.31,4.72,-0.01578586,0.02020858,-0.00481378,0.0262605,-0.01591697,0.02020901,-0.00481434,0.02626064
28.56,5583.89,40.25,28.56,4.74,-0.0041841,0.00051783,0.0246945,-0.02558854,-0.00431577,0.00051795,0.02469449,-0.02558922
28.79,5568.72,39.66,28.97,4.77,0.00805322,-0.00271674,-0.01465839,0.01435574,0.00792072,-0.00271697,-0.01465831,0.01435615
28.39,5586.06,40.44,29.22,4.77,-0.01389371,0.00311382,0.01966717,0.00862962,-0.01402621,0.00311421,0.01966708,0.00862907
28.33,5584.97,40.15,29.97,4.77,-0.00211342,-0.00019513,-0.00717112,0.02566735,-0.00224592,-0.00019507,-0.00717111,0.02566755
28.56,5683.6,40.25,31.16,4.77,0.0081186,0.0176599,0.00249066,0.03970637,0.0079861,0.01765967,0.00249017,0.0397063
28.56,5669.51,39.96,30.44,4.76,0,-0.00247906,-0.00720497,-0.02310655,-0.00013222,-0.00247906,-0.0072049,-0.02310635
28.44,5655.42,41.03,29.25,4.76,-0.00420168,-0.00248522,0.02677678,-0.0390933,-0.0043339,-0.00248511,0.02677685,-0.03909404
28.27,5626.88,40.74,28.72,4.75,-0.0059775,-0.00504649,-0.007068,-0.01811966,-0.00610944,-0.00504632,-0.00706786,-0.01811946
28.27,5636.64,40.74,28.56,4.76,0,0.00173453,0,-0.00557103,-0.00013222,0.00173453,-0.00000005,-0.00557103
28.68,5643.86,40.64,27.19,4.75,0.01450301,0.00128091,-0.00245459,-0.04796919,0.01437106,0.0012805,-0.00245463,-0.04796912
28.96,5670.6,40.93,27.69,4.76,0.0097629,0.00473789,0.00713583,0.01838911,0.00963068,0.00473762,0.0071357,0.01838892
28.56,5626.88,39.66,27.81,4.68,-0.01381216,-0.00770994,-0.03102859,0.00433369,-0.01394216,-0.00770956,-0.03102837,0.00433456
28.27,5630.85,41.03,27.44,4.72,-0.01015406,0.00070554,0.03454362,-0.01330457,-0.01028517,0.00070582,0.0345436,-0.01330553
28.21,5587.14,40.83,27.81,4.66,-0.00212239,-0.00776259,-0.00487448,0.01348397,-0.00225184,-0.00776254,-0.00487427,0.0134841
28.73,5637.72,40.44,27.59,4.72,0.01843318,0.00905293,-0.0095518,-0.00791082,0.01830207,0.00905242,-0.00955205,-0.00791056
29.25,5671.68,40.83,29.41,4.72,0.01809955,0.00602371,0.00964392,0.06596593,0.01796844,0.00602321,0.00964375,0.06596566
29.6,5689.74,40.74,29.94,4.72,0.01196581,0.00318424,-0.00220426,0.01802108,0.0118347,0.00318391,-0.00220435,0.01802114
29.02,5682.88,41.32,29.44,4.72,-0.0195946,-0.00120568,0.01423662,-0.01670007,-0.01972571,-0.00120514,0.01423666,-0.01670046
29.02,5682.88,42.3,29.44,4.72,0,0,0.02371733,0,-0.00013111,0,0.02371733,-0.00000066
27.93,5594.37,41.71,29.84,4.72,-0.0375603,-0.01557485,-0.01394799,0.01358696,-0.03769141,-0.01557381,-0.01394756,0.01358734
27.93,5560.41,41.81,29.47,4.73,0,-0.00607039,0.00239751,-0.01239946,-0.00013139,-0.00607039,0.00239768,-0.01239953
28.27,5485.98,41.61,29,4.73,0.01217329,-0.0133857,-0.00478355,-0.01594842,0.0120419,-0.01338604,-0.00478317,-0.01594829
28.44,5487.07,42.49,29.37,4.73,0.00601344,0.00019869,0.02114876,0.01275862,0.00588205,0.00019852,0.02114876,0.01275803
28.91,5532.59,42.39,27.87,4.73,0.01652602,0.00829587,-0.0023535,-0.05107252,0.01639463,0.00829541,-0.00235373,-0.05107246
28.73,5592.92,41.52,28.53,4.73,-0.00622622,0.01090448,-0.02052371,0.02368138,-0.00635761,0.01090465,-0.02052401,0.02368195
28.56,5620.02,42.2,28.87,4.73,-0.00591716,0.00484541,0.01637765,0.01191728,-0.00604855,0.00484558,0.01637752,0.01191683
28.33,5549.93,41.52,26.31,4.73,-0.00805322,-0.01247149,-0.01611374,-0.08867336,-0.00818461,-0.01247126,-0.0161134,-0.08867292
